date,categoryName,payee,comment,createdDate,changedDate,outcomeAccountName,outcome,outcomeCurrencyShortTitle
2023-04-29,Образование,Читай-город,Книжка по даосизму,2023-04-29 15:19:35,2023-04-29 12:19:42,Тинькофф,75.0,RUB
2023-04-29,Проезд,,,2023-04-29 15:22:02,2023-04-29 12:22:22,Тинькофф,28.0,RUB
2023-04-29,"Платежи, комиссии / Подписки",,Оплата VPN,2023-04-29 16:56:42,2023-04-29 13:57:12,Тинькофф,1170.0,RUB
2023-04-30,Здоровье и фитнес,Аптека,Таблетки сотрет,2023-04-30 12:05:26,2023-04-30 09:05:28,Тинькофф,3024.0,RUB
2023-04-30,Отдых и развлечения,,Аккаунт со spore,2023-04-30 13:03:34,2023-04-30 10:03:36,Тинькофф,80.0,RUB
2023-04-30,Продукты,Яндекс маркет,,2023-04-30 14:49:31,2023-04-30 11:49:36,Тинькофф,1355.89,RUB
2023-05-02,"Платежи, комиссии / Подписки",,Подписка bookmate,2023-05-02 10:03:12,2023-05-02 07:03:44,Тинькофф,100.0,RUB
2023-05-02,Кафе и рестораны,Столовая лицея,,2023-05-02 16:21:21,2023-05-02 13:21:42,Тинькофф,155.0,RUB
2023-05-02,Продукты / Сладости,Пятерочка,,2023-05-02 18:09:18,2023-05-02 15:09:38,Тинькофф,79.99,RUB
2023-05-03,Кафе и рестораны / Кофейни,Автомат в арене,,2023-05-03 12:45:40,2023-05-03 09:45:57,Тинькофф,100.0,RUB
2023-05-04,Продукты,Пятерочка,,2023-05-04 12:52:09,2023-05-04 09:52:15,Тинькофф,118.97,RUB
2023-05-04,Продукты / Сладости,Пятерочка,,2023-05-04 18:56:05,2023-05-04 15:56:17,Тинькофф,761.37,RUB
2023-05-05,Кафе и рестораны,,,2023-05-05 10:09:30,2023-05-05 07:10:01,Тинькофф,60.0,RUB
2023-05-05,"Покупки: одежда, техника",,Штатив для телефона,2023-05-05 10:09:53,2023-05-05 07:10:01,Тинькофф,451.0,RUB
2023-05-05,Забота о себе,,Оплатил подписку на дзен мани,2023-05-05 10:18:00,2023-05-05 07:18:16,Тинькофф,149.0,RUB
2023-05-05,Кафе и рестораны,Столовая лицея,,2023-05-05 12:28:38,2023-05-05 09:28:44,Тинькофф,170.0,RUB
2023-05-06,Продукты / Сладости,Пятерочка,,2023-05-06 13:13:38,2023-05-06 10:14:20,Тинькофф,124.98,RUB
2023-05-06,Кафе и рестораны,Столовая лицея,,2023-05-06 13:21:17,2023-05-06 10:21:28,Тинькофф,230.0,RUB
2023-05-06,Кафе и рестораны,,Вкусно поужинал в вьетнамском ресторане,2023-05-06 19:04:00,2023-05-06 16:04:16,Тинькофф,690.0,RUB
2023-05-06,Продукты,,Вода в аэропорту... Дорого...,2023-05-06 20:59:06,2023-05-06 17:59:10,Тинькофф,150.0,RUB
2023-05-07,Отдых и развлечения,,Билет на выставку,2023-05-07 15:40:27,2023-05-07 12:40:36,Тинькофф,175.0,RUB
2023-05-07,Кафе и рестораны / Кофейни,,,2023-05-07 15:56:59,2023-05-07 12:57:31,Тинькофф,229.0,RUB
